Programa de Capitalización y compra de cartera
Saneamientos financieros
Emisiones realizadas
Pasivos de las instituciones en liquidación
Programa de deudores
Programas de daciones en pago
Operaciones con instrumentos financieros derivados
Otros pasivos
Reserva para la Protección al Ahorro Bancario
Reserva y Otros pasivos
Pasivos Totales
Recursos líquidos
Programa de daciones en pago
Pasivos Netos
Reserva paz y a salvo
Nuevo Programa
Reserva para Contingencias de Resoluciones Bancarias
Reserva para subrogación de OG
Obligaciones garantizadas por pagar
Recursos por recuperar del pago por subrogación de obligaciones garantizadas
